com,fow,out,ovr,how,p
"gone, Vusimuzi hands it straight to the fielder! It was pitched up, he drove on the up off the front foot and gave a straightforward catch to point",24/1,55787,5.1,c Vijay b Kulkarni 2 (20m 13b 0x4 0x6) SR: 15.38,Vusi Sibanda
"not this time, gets the edge and he's caught behind! Lovely seam position of the ball, facing the slip, shapes away from the batsman as he opens the face of the bat for a single catch to the keeper",31/2,55608,8.5,c &dagger;Uthappa b Kumar 5 (15m 11b 1x4 0x6) SR: 45.45,Hamilton Masakadza
"stunning catch from Jinxy cat! Elton stayed back for the short of length ball as it shaped away, poked and get a thick edge towards second slip actually and Jinxy leapt like a cat to his right to grab that with both hands. Umpires checking for no ball, and if the catch is clean. Not a no ball, and the umpires checking if the ball touched the ground when Rahane landed after his inter-galatic leap. The ball was mainly in his right hand when the elbows hit the ground and looks like some fingers were under the ball. Elton has to go back",43/3,55343,10.6,c Rahane b Kumar 9 (10m 6b 2x4 0x6) SR: 150.00,Elton Chigumbura
"it's gone through to knock over the off stump! Axar got this one to turn in as Sean came forward to work it to leg with the spin, but he played the wrong line as the ball pitched just outside off and turned in sharply to go through the gate",95/4,55870,24.6, b Patel 20 (57m 37b 1x4 0x6) SR: 54.05,Sean Williams
"oh looks like he's run out with a direct hit! Sikandar went deep in the crease to turn the ball to midwicket and said no only after taking a couple of steps. Chamu had come way out of the crease by now, nearly haflway down, and his dive also could not save him because of Rahane's direct hit. Jinxy the cat",130/5,55354,31.1,run out (Rahane) 72 (128m 100b 9x4 0x6) SR: 72.00,Chamu Chibhabha
"he's edged, he's dropped, no he's taken in fact, umpire says no but he walks! Sikandar cut off the back foot as the ball came in, got an edge and the ball lobbed off the keeper's pads square of the wicket and Robbie dived to his right to catch that. Umpire didn't move but Sikandar walked back",132/6,299572,31.5,c &dagger;Uthappa b Harbhajan Singh 18 (26m 22b 0x4 1x6) SR: 81.81,Sikandar Raza
"can't make it three in a row, but holes out! He did connect much better this time, slammed the full delivery down the ground but only found Axar at long off for an easy catch",184/7,235516,44.3,c Patel b Binny 32 (57m 41b 3x4 0x6) SR: 78.04,Richmond Mutumbami
"looks like a run out! Graeme creamed the ball straight to cover, Rahane collected and threw it quickly to the bowler's end, that too with a direct hit. He's been superb in the field today, Jinxy the cat",186/8,453289,44.5,run out (Rahane) 0 (3m 0b 0x4 0x6) SR: -,Neville Madziva
"that's one more wicket, and another good fielding effort by Rahane! Graeme pulled the back of length ball and mistimed it, making the ball lob towards extra cover and Rahane took a few steps before diving forward to his left for a sliding catch with both hands. Jinxy the cat",195/9,55346,46.2,c Rahane b Kumar 27 (65m 42b 2x4 0x6) SR: 64.28,Graeme Cremer
"that's it, taken at mid-off, and India finish it off. It was pitched up slightly, Donald chipped it down in the air and Axar had to dive forward to get his hands under it. Good catch seals the series win",209/10,392945,48.6,c Patel b Kumar 6 (20m 13b 1x4 0x6) SR: 46.15,Donald Tiripano
